,optimizer,base_neurons,layers,activation,loss,metric,eval_metric,Метрика R2
3066,AdaGrad,128,5,linear,Huber,MeanAbsolutePercentageError,18.281047821044922,0.5667132587731851
3067,AdaGrad,128,5,linear,Huber,MAE,3.154646635055542,0.5988984647183877
3068,AdaGrad,128,5,linear,Huber,MSE,25.70404052734375,0.6329417020126644
3069,AdaGrad,128,5,linear,LogCosh,MeanAbsolutePercentageError,17.450490951538086,0.5760610168845748
3070,AdaGrad,128,5,linear,LogCosh,MAE,3.4583585262298584,0.5284637615035939
3071,AdaGrad,128,5,linear,LogCosh,MSE,30.4777774810791,0.5647719655740933
3072,AdaGrad,128,5,elu,MAE,MeanAbsolutePercentageError,17.629993438720703,0.587680903969732
3073,AdaGrad,128,5,elu,MAE,MAE,3.0189929008483887,0.6830540244749789
3074,AdaGrad,128,5,elu,MAE,MSE,30.34052085876465,0.5667320606754733
3075,AdaGrad,128,5,elu,MSE,MeanAbsolutePercentageError,20.518850326538086,0.5637727795600513
3076,AdaGrad,128,5,elu,MSE,MAE,4.018344879150391,0.4926694758562292
3077,AdaGrad,128,5,elu,MSE,MSE,28.05596351623535,0.5993558756488856
3078,AdaGrad,128,5,elu,Huber,MeanAbsolutePercentageError,16.281795501708984,0.6424469313546238
3079,AdaGrad,128,5,elu,Huber,MAE,3.0755743980407715,0.6604035297242686
3080,AdaGrad,128,5,elu,Huber,MSE,30.485225677490234,0.5646656098829466
3081,AdaGrad,128,5,elu,LogCosh,MeanAbsolutePercentageError,16.52210807800293,0.6162339631743177
3082,AdaGrad,128,5,elu,LogCosh,MAE,2.966093063354492,0.6894751771179195
3083,AdaGrad,128,5,elu,LogCosh,MSE,25.47508430480957,0.6362113251419628
3084,AdaGrad,128,5,relu,MAE,MeanAbsolutePercentageError,16.36256980895996,0.6734853799199253
3085,AdaGrad,128,5,relu,MAE,MAE,3.430229425430298,0.6052436517214035
3086,AdaGrad,128,5,relu,MAE,MSE,24.8951358795166,0.6444930513110121
3087,AdaGrad,128,5,relu,MSE,MeanAbsolutePercentageError,15.033702850341797,0.7136184419343272
3088,AdaGrad,128,5,relu,MSE,MAE,2.9547224044799805,0.7036650883972783
3089,AdaGrad,128,5,relu,MSE,MSE,21.658082962036133,0.6907187587904751
3090,AdaGrad,128,5,relu,Huber,MeanAbsolutePercentageError,16.65401268005371,0.6709675228295542
3091,AdaGrad,128,5,relu,Huber,MAE,3.5123181343078613,0.5986497980589776
3092,AdaGrad,128,5,relu,Huber,MSE,28.653776168823242,0.590819025726961
3093,AdaGrad,128,5,relu,LogCosh,MeanAbsolutePercentageError,19.62626838684082,0.5947000893484049
3094,AdaGrad,128,5,relu,LogCosh,MAE,3.8676018714904785,0.5415481471929896
3095,AdaGrad,128,5,relu,LogCosh,MSE,23.28646469116211,0.6674651632488384
3096,AdaGrad,128,5,tanh,MAE,MeanAbsolutePercentageError,37.64798355102539,-0.9878762498054512
3097,AdaGrad,128,5,tanh,MAE,MAE,8.061105728149414,-0.6743829879987007
3098,AdaGrad,128,5,tanh,MAE,MSE,109.23808288574219,-0.559938994886898
3099,AdaGrad,128,5,tanh,MSE,MeanAbsolutePercentageError,39.398529052734375,-0.8254101652585022
3100,AdaGrad,128,5,tanh,MSE,MAE,8.009149551391602,-0.6338082494262485
3101,AdaGrad,128,5,tanh,MSE,MSE,131.94769287109375,-0.8842365301557096
